Perfecto!;The trusted marketplace for used bikes;https://perfecto.bike;;
Hoop Dreams Athletics ;Turning Dreams Into Reality!;http://cedrickbias1106.wix.com/gym-club;;;Sports
Feat Food;Feat Food delivers healthy, mediterranean, organic and fresh ready-to-eat meals;http://www.featfood.it;;
TinyStep;Ask Pediatricians. Get Answers.;http://www.tinystep.in;;
MOOV;Shhh...;http://moov.li;;
FitRankings;Ranking Individuals and Companies on Fitness;http://www.fitrankings.com;;https://twitter.com/FitRankings
Racefully;Making fitness more global, social and engaging;http://www.raceful.ly;;
Fitme +;Marketplace of Personal Trainers;http://www.fitmeplus.com;;
DNAFit ;Double your performance with DNA!;http://www.dnafit.com;https://www.linkedin.com/company/dnafit-limited;http://twitter.com/@dnafithq
Gravity App;Udemy for Health & Fitness;http://getgravity.co;;
Smartlife;Smart clothing for health & fitness.;http://www.smartlife.co.uk;https://www.linkedin.com/company/smartlife-inc-ltd-?trk=nmp_rec_act_company_photo;https://twitter.com/SmartLife_HQ;Private Limited 
Next Level Training Systems;Adaptive fitness studio for people with diseases and dysfunctions.;http://www.NLTSgym.com;;
RAWW;Inventors of innovative & patented gear;https://RAWWgear.com;;;startup
Blinn Fitness;Training Facility/Gym;https://www.facebook.com/brandon.blinn.39;;
Every Body Fitness;P90X for people with disabilities;http://www.ebfitnessonline.com;;
Alta Fitness;fitness,wellness,dance;http://www.altafitness.com.kw;;
Truweight;Weight Loss Tips;http://truweight.in/;;;fitness
InstructorTut;Uber for fitness instructors;https://instructortut.ru/;;;startup
10k Steps;Incredibly simple fitness guidance;http://get10ksteps.com;;https://twitter.com/get10ksteps
TandemBuddy;An app to help people find others to help reach fitness goals;http://www.tandembuddy.com;;
StreetBarz;Workout app for calisthenics/gymnastics/street workout;http://streetbarz.com;;
BlueLeza ;Bluetooth Smart Sensors;http://www.blueleza.com;https://www.linkedin.com/company/blueleza;https://twitter.com/blueleza;sporting Goods
ClassCruiser;ClassPass for Asia;http://www.classcruiser.com;;http://www.twitter.com/classcruiser
InTouch Technology;The leading CRM software for the health and fitness industry;http://www.intouchfollowup.com;;
Civili Consulting;;http://www.civiliconsulting.com;;;Business Consulting
gFit;The unique Fitness Community ;http://www.gfit.se;;
Sportable;Play sports, locally.;http://www.sportable.co;https://www.linkedin.com/company/sportable-ltd-;http://www.twitter.com/SportableApp;startup
Cloforce;;http://www.cloforce.com;;;Software Development
LeanOn5;Eat to Live NOT live to Eat!;http://www.leanonwheels.com;linkedin.com/https://instagram.com/leanonwheels/;https://twitter.com/leanonwheels
Commit Analytics;Better Data. Better Workouts.;https://www.commitswimming.com/;https://www.linkedin.com/company/commit-swimming;https://twitter.com/CommitSwimming;startup
Fitbot;Basecamp for personal trainers;http://www.thefitbot.com;;
KiwiSweat;Pop-Up Fitness;http://www.kiwisweat.com;;
KiwiSweat;Pop-Up Fitness;http://www.kiwisweat.com;;
Norwegian Protein Magic;A sweet taste of health;http://www.vikingwaffles.com;;
121Gym;Smarter Workouts using your Pebble Watch;http://www.121gym.com;;http://twitter.com/@121Gym;startup
Ambient Fytns Technology;Advanced algorithms that socialize & gamify fitness products & services.;http://www.ambientfytnstech.com;https://www.linkedin.com/company/ambient-fytns-technology;https://twitter.com/AmbientFytns
Cappica;Eco friendly fitness ;http://www.cappica.com;;https://twitter.com/CapaShaker
FitPro.me;A platform for fitpro connections.;http://www.fitpro.me;;http://twitter.com/fitprome
Circle of Life Urban Eatery;Fast Healthy Food and Nurtition;http://www.cityfit.ca;;
FitBenefit ;On-Demand Fitness and Health Marketplace;http://fitbenefitapp.com;;;startup
GH NUTRITION;#goodhealthmovement;http://goodhealthnutrition.ca;;http://twitter.com/gh_nutrition;Retail
The Anti-Depression Diet;Beat depression with brain health;http://www.theantidepressiondiet.co.uk/;;
LegDay;See who's working out at your gym. Coming soon for iOS.;http://legday.co;https://www.linkedin.com/company/legday;http://twitter.com/@getlegday
Sweat;eHarmony for Fitness;http://Not launched yet;;;Mobile App
SportsBuddy;Tinder for sports. ;http://www.getsportsbuddy.com;;;startup
Prove;Google Analytics for CrossFit-ers;http://prove.fitness;;
Brew;Ecosystem of Foot Wearable Technology;http://www.brewwearables.com;;
BURNTHIS;PINSTAGRAM FOR FITNESS ;http://WWW.BURNTHIS.COM;;
Iron Leap;Empowering people to improve their technique in any sport and play like a pro. ;http://ironleap.com;;;private company
Liftizen;Helping Trainers be more efficient.;http://liftizen.com;;https://twitter.com/liftizen
HUMAN POWERED Ecofitness Collective;Electricity producing green gym;http://humanpoweredla.wordpress.com;;;Eco-Sustainable
apogee fitness & wellness;Best Yoga Classes For Women In Westchester Country,NY;http://www.apogeewellness.com/home/;;
Wireless Fitness;The Uber of Outdoor Fitness;http://www.wirelessfitnessapp.com;;
Jaha;Where fitness people meet.;http://www.jaha.com;https://www.linkedin.com/company/jaha;http://www.twitter.com/myjaha;startup
Les Mills;Best fitness programs. Hottest music.;http://www.lesmills.com;;
Find a Trainer 4 Me;An Angie's List for personal trainers;http://www.ahfedwardsville.com/personaltraining/;;
WOLACO;WOLACO is a men's fitness and lifestyle apparel brand. ;http://www.wola-co.com;;
My Gym Pass Italia;Online Fitness Agency;http://www.mygympass.it;https://www.linkedin.com/company/my-gym-pass-italia;http://twitter.com/mygympassitalia
PrimeImpact;PrimeImpact, changing how you see fitness.;http://PrimeImpact.us;;
Kinetic Diagnostics;Maximize performance and minimize injuries for athletes;http://www.kinetidiagnostics.com;https://www.linkedin.com/company/kinetic-diagnostics-inc;https://twitter.com/kineticdx
Iron Lion Gym;Fitness boutique for busy individuals;http://www.ironliongym.co.za;;
Gymster;randomise exercises fitness app;http://www.gymster.co.uk;;http://twitter.com/@gymsterapp
Khaylo;;http://www.khaylo.com;https://www.linkedin.com/company/khaylo-inc?trk=ppro_cprof;https://twitter.com/khayloinc
Vea Fitness;Rewarding Fitness;http://www.vealife.com;;http://twitter.com/@veafitness;Mobile App
LUFELIVE;Connecting The Sport, Health & Fitness Industry ( Via Content, Commerce & Community);http://www.lufelive.com;https://www.linkedin.com/company/lufelive;https://twitter.com/LUFELIVE;E-Commerce
Rock N Shock Fitness;HITFIT All Women's Facility;https://www.fundable.com/rock-n-shock-fitness;;
Alcalua;Advanced wearable fitness device;http://www.alcalua.com;;
Random Breakfast;Mario Brothers meets FitBit;http://randombreakfast.com;;;healthcare technology
Megalith Solutions;Focusing on the necessary projects in health and athletics.;http://www.megalithsolutions.com;;
RIPFLEXXX;Resistance Training on Steroids;http://ripflexxx.com;;https://twitter.com/RIPFLEXXX_RS1
MySwimPro;Social fitness platform for swimmers and triathletes.;http://myswimpro.com;https://www.linkedin.com/company/myswimpal;http://twitter.com/myswimpro
FitHero;Uber for Personal Trainers;http://www.getfithero.com;;
Yoga Buddhi;At-Home Yoga Done Right;http://www.yogabuddhi.co;;
Indy Boot Camps;Lost myself and everything in business.  I'm starting over with no Capital.;http://www.indybootcamps.com;;
The Ugly Monkey USA;New concept for work-out gloves.;http://usa.theuglymonkey.net;;https://twitter.com/uglymonkeyusa;fitness
iriwp;smartphone technology to improve healthy lifestyles;http://www.iriwp.com;;
VIT;VIT is a New Way to Get Healthy on Your Terms;http://join.VIT.fitness;;
CNY Major League All-Stars;Bringing Sports to Central New York;http://www.cnymajorleagueallstars.com;;
Sisu;Your exercise data as art;http://madewithsisu.com;;http://twitter.com/madewithsisu
Fenomenal Fitness;we do cool thingsssssss;http://fenimenalfitness.com;;
Melt;Netflix / Udemy for fitness;http://currently private;;;healthcare technology
ResQwalk;Map My Walk for Socially Conscious Pet Parents;http://www.resqwalk.com;;https://twitter.com/resqwalk
inKin Social Fitness Platform;Facebook for fitness;http://www.inkin.com;https://www.linkedin.com/company/inkin-wellness-social-platform;https://twitter.com/inkinclub
LIFT Digital ;virtual personal training & marketplace;http://www.liftsession.com;;http://twitter.com/liftsession;Mobile App
Sparx Hockey (Velasa Sports, Inc.);Skate Sharpening.  Anywhere, Anytime.  (Skate sharpening meets Keurig);http://www.sparxhockey.com;https://www.linkedin.com/company/sparx-hockey;https://twitter.com/Sparxhockey
Gymhopper;Uber for gyms;http://gymhopper.ch;https://www.linkedin.com/company/9201323?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A2021314921423568110009%2CVSRPtargetId%3A9201323%2CVSRPcmpt%3Aprimary;
Classhopper;Streamlining fitness classes and reservations into single membership;http://www.classhopper.com.au;;
PersonalCare;Healthcare for the 1%;http://www.personalcarephysicians.com;;;Limited Liability Company
Freedom2Fit;The Angie's List of the Fitness/Wellness Industry;http://www.freedom2fit.org;;
Nozpad;Wearable Eyewears & Nosewears for breath tracking and intelligence device and app;http://www.nozpad.com;https://www.linkedin.com/company/nozpad;https://twitter.com/nozpad;Wearable Technology
Skinny in the City;Calendar of Free Fitness Events and Reviews (Rate Your Burn meets My Free Concert);http://www.stayingskinnyinthecity.com/#!home/cx7f;;https://twitter.com/skinnyinthenyc;Online Destination and Event Management
Healthstreet;Workouts workout;http://www.hsone.in;;
Perspyre;A Social Fitness App;http://www.perspyre.com;;
Spa20;Lose 1" for $99 in 20 minutes. Guaranteed.;http://www.spa20.com;;;Corporation
HealthyFitLife;Former Beachbody (P90X, Insanity) Executives' New Company;http://www.healthyfitlife.com;https://www.linkedin.com/company/healthyfitlife;http://twitter.com/hflinc
Precision Performance Training;Healthy Physical Activity;http://pptprecision.com;;
Pure Barre;Boutique fitness studio;http://www.purebarre.com;;
Oralfitnessexpert.com;Fitness concepts applied to oral health;http://www.oralfitnessexpert.com;;;Internet
Raed Box;Delivers the best Fitness-Training;http://www.raedbox.eu;;
Great Lyfe;Web tools for health pros and their clients;http://www.greatlyfe.com;;
ACTIV Health;Technology for fitness and nutritional professionals to track and support their clients. ;http://www.activprotrainer.com/;;
SPORTLY;Airbnb for sports;http://www.sportly.co;;https://twitter.com/sportly_app;startup
SternFit;Create and share your own training/diet/supplement plan. ;http://SternFit.com;https://www.linkedin.com/company/sternfit;https://twitter.com/SternFit;startup
Superhero School;Preschool Educational Program;http://superhero-school.weebly.com;;;Community
Prototyze;Incubator building mobile technology centered products;http://www.prototyze.com;https://www.linkedin.com/company/prototyze-services-pvt-ltd;;incubator
Krislynn;Krislynn Cycle & Fitness is your one stop solution for all your fitness equipment.;http://www.krislynn.net;;https://twitter.com/AtlanticFitness
Healthcnxt;Health and fitness social network;http://Healthcnxt.com;;
